Data de Compra,Nome no Cartão,Final do Cartão,Categoria,Descrição,Parcela
02/02/2026,BRIAN TYLER,1114,Elétrico,CURSOR USAGE MID  JAN  NE,Única
03/02/2026,BRIAN TYLER,1114,Empresa para empresa,APPLECOMBILL,Única
03/02/2026,BRIAN TYLER,1114,Empresa para empresa,APPLECOMBILL,Única
06/02/2026,BRIAN TYLER,1114,Empresa para empresa,APPLECOMBILL,Única
07/02/2026,BRIAN TYLER,1114,Empresa para empresa,APPLECOMBILL,Única
08/02/2026,BRIAN TYLER,1114,Empresa para empresa,APPLECOMBILL,Única
08/02/2026,BRIAN TYLER,1114,TV por assinatura / Serviços de rádio,DM*SPOTIFY,Única
10/02/2026,BRIAN TYLER,1114,Empresa para empresa,APPLECOMBILL,Única
10/02/2026,BRIAN TYLER,1114,Empresa para empresa,APPLECOMBILL,Única
21/07/2025,EVA MENDES,1117,Assistência médica e odontológica,HERMES E VIANNA COMERC,7/10
07/11/2025,EVA MENDES,1117,Assistência médica e odontológica,OCULAR OFTALMOLOGIA E,4/5
12/12/2025,EVA MENDES,1117,Serviços pessoais,AVATIM CHEIROS DA TERR,2/2
19/01/2026,EVA MENDES,1117,Restaurante / Lanchonete / Bar,MCDONALD'S F17278      CH,Única
19/01/2026,EVA MENDES,1117,Restaurante / Lanchonete / Bar,MCDONALD'S F17278      CH,Única
19/01/2026,EVA MENDES,1117,Transporte,UBER   * PENDING       SA,Única
19/01/2026,EVA MENDES,1117,Transporte,UBER   * PENDING       SA,Única
19/01/2026,EVA MENDES,1117,Transporte,UBER   *TRIP           SA,Única
19/01/2026,EVA MENDES,1117,Transporte,UBER   *TRIP           SA,Única
23/01/2026,EVA MENDES,1117,Relacionados a Automotivo,POSTO FORMULA - TIO HU,Única
24/01/2026,EVA MENDES,1117,Materiais de construção para casa,CONSTRUMOVEIS PORTELLA,Única
24/01/2026,EVA MENDES,1117,Supermercados / Mercearia / Padarias / Lojas de Conveniência,SUPERMERCADO PORTELLA,Única
26/01/2026,EVA MENDES,1117,Supermercados / Mercearia / Padarias / Lojas de Conveniência,MERCADO MOY,Única
26/01/2026,EVA MENDES,1117,Associação,MIX CENTER,Única
28/01/2026,EVA MENDES,1117,Supermercados / Mercearia / Padarias / Lojas de Conveniência,MERCADO MOY,Única
29/01/2026,EVA MENDES,1117,Supermercados / Mercearia / Padarias / Lojas de Conveniência,PURA E NUTRI PRODUTOS,Única
29/01/2026,EVA MENDES,1117,Supermercados / Mercearia / Padarias / Lojas de Conveniência,FRUTEIRA TERRIBILE LTD,Única
29/01/2026,EVA MENDES,1117,Associação,MIX CENTER,Única
30/01/2026,EVA MENDES,1117,Assistência médica e odontológica,OPTICA RUDI,1/3
30/01/2026,EVA MENDES,1117,Assistência médica e odontológica,SAO JOAO FARMACIAS,Única
01/02/2026,EVA MENDES,1117,-,Estorno IOF Exterior,Única
01/02/2026,EVA MENDES,1117,-,Estorno IOF Exterior,Única
01/02/2026,EVA MENDES,1117,Associação,MIX CENTER,Única
01/02/2026,EVA MENDES,1117,Serviços financeiros,BUNQ,Única
01/02/2026,EVA MENDES,1117,Serviços financeiros,BUNQ,Única
01/02/2026,EVA MENDES,1117,Serviços financeiros,BUNQ,Única
01/02/2026,EVA MENDES,1117,Serviços financeiros,BUNQ,Única
01/02/2026,EVA MENDES,1117,Serviços financeiros,BUNQ,Única
01/02/2026,EVA MENDES,1117,Serviços financeiros,BUNQ,Única
